207.109.29.70,01/Jul/1995:01:28:39,01/Jul/1995:01:33:39
207.246.17.94,01/Jul/1995:02:51:26,01/Jul/1995:02:56:26
215.298.34.27,01/Jul/1995:03:27:22,01/Jul/1995:03:32:22
218.198.17.86,01/Jul/1995:03:27:48,01/Jul/1995:03:32:48
222.168.34.62,01/Jul/1995:03:36:10,01/Jul/1995:03:41:10
211.197.42.60,01/Jul/1995:03:55:45,01/Jul/1995:04:00:45
214.216.28.91,01/Jul/1995:03:58:41,01/Jul/1995:04:03:41
213.140.44.17,01/Jul/1995:04:46:45,01/Jul/1995:04:51:45
216.279.26.53,01/Jul/1995:05:34:02,01/Jul/1995:05:39:02
208.269.85.25,01/Jul/1995:06:01:26,01/Jul/1995:06:06:26
217.193.30.89,01/Jul/1995:06:35:51,01/Jul/1995:06:40:51
217.299.85.40,01/Jul/1995:07:23:46,01/Jul/1995:07:28:46
208.187.12.61,01/Jul/1995:07:34:11,01/Jul/1995:07:39:11
210.141.21.56,01/Jul/1995:07:43:50,01/Jul/1995:07:48:50
212.158.34.50,01/Jul/1995:09:12:27,01/Jul/1995:09:17:27
209.257.17.63,01/Jul/1995:09:45:20,01/Jul/1995:09:50:20
217.160.92.44,01/Jul/1995:10:57:14,01/Jul/1995:11:02:14
221.299.29.52,01/Jul/1995:11:29:28,01/Jul/1995:11:34:28
214.151.58.56,01/Jul/1995:13:36:16,01/Jul/1995:13:41:16
220.156.56.42,01/Jul/1995:13:42:36,01/Jul/1995:13:47:36
223.170.87.77,01/Jul/1995:15:16:41,01/Jul/1995:15:21:41
208.104.53.67,01/Jul/1995:15:26:04,01/Jul/1995:15:31:04
212.164.14.54,01/Jul/1995:16:22:33,01/Jul/1995:16:27:33
222.238.31.35,01/Jul/1995:18:58:15,01/Jul/1995:19:03:15
222.150.72.23,01/Jul/1995:19:28:48,01/Jul/1995:19:33:48
213.123.27.17,01/Jul/1995:19:59:30,01/Jul/1995:20:04:30
208.115.39.95,01/Jul/1995:20:01:28,01/Jul/1995:20:06:28
207.125.54.37,01/Jul/1995:20:50:12,01/Jul/1995:20:55:12
218.213.89.72,01/Jul/1995:21:54:37,01/Jul/1995:21:59:37
223.143.41.72,01/Jul/1995:22:33:30,01/Jul/1995:22:38:30
211.139.28.64,01/Jul/1995:23:20:28,01/Jul/1995:23:25:28
210.157.58.20,02/Jul/1995:00:57:38,02/Jul/1995:01:02:38
223.125.88.95,02/Jul/1995:01:03:32,02/Jul/1995:01:08:32
220.239.56.31,02/Jul/1995:02:03:20,02/Jul/1995:02:08:20
218.165.19.68,02/Jul/1995:02:36:51,02/Jul/1995:02:41:51
216.219.22.45,02/Jul/1995:02:55:34,02/Jul/1995:03:00:34
210.246.51.43,02/Jul/1995:03:10:41,02/Jul/1995:03:15:41
210.153.12.39,02/Jul/1995:03:16:34,02/Jul/1995:03:21:34
209.257.14.88,02/Jul/1995:03:25:04,02/Jul/1995:03:30:04
210.198.76.12,02/Jul/1995:03:43:22,02/Jul/1995:03:48:22
217.224.88.13,02/Jul/1995:03:56:34,02/Jul/1995:04:01:34
209.292.17.54,02/Jul/1995:03:58:31,02/Jul/1995:04:03:31
207.155.75.72,02/Jul/1995:04:40:39,02/Jul/1995:04:45:39
208.289.65.19,02/Jul/1995:04:44:29,02/Jul/1995:04:49:29
208.225.61.45,02/Jul/1995:05:07:39,02/Jul/1995:05:12:39
223.107.92.53,02/Jul/1995:05:42:26,02/Jul/1995:05:47:26
215.223.31.22,02/Jul/1995:05:50:41,02/Jul/1995:05:55:41
211.169.95.39,02/Jul/1995:06:06:07,02/Jul/1995:06:11:07
211.157.59.79,02/Jul/1995:06:24:50,02/Jul/1995:06:29:50
215.149.51.19,02/Jul/1995:06:29:43,02/Jul/1995:06:34:43
216.172.27.88,02/Jul/1995:06:31:02,02/Jul/1995:06:36:02
219.118.73.56,02/Jul/1995:06:37:33,02/Jul/1995:06:42:33
217.190.65.92,02/Jul/1995:06:46:17,02/Jul/1995:06:51:17
217.168.32.92,02/Jul/1995:06:47:42,02/Jul/1995:06:52:42
219.141.59.82,02/Jul/1995:07:13:24,02/Jul/1995:07:18:24
216.168.82.90,02/Jul/1995:07:20:29,02/Jul/1995:07:25:29
214.195.62.46,02/Jul/1995:07:27:41,02/Jul/1995:07:32:41
219.229.65.64,02/Jul/1995:07:42:36,02/Jul/1995:07:47:36
218.217.66.58,02/Jul/1995:08:12:25,02/Jul/1995:08:17:25
207.195.10.82,02/Jul/1995:08:43:21,02/Jul/1995:08:48:21
219.102.43.97,02/Jul/1995:09:08:31,02/Jul/1995:09:13:31
207.115.15.75,02/Jul/1995:09:22:39,02/Jul/1995:09:27:39
215.259.26.20,02/Jul/1995:09:27:07,02/Jul/1995:09:32:07
210.118.25.12,02/Jul/1995:09:51:21,02/Jul/1995:09:56:21
219.277.86.27,02/Jul/1995:10:04:34,02/Jul/1995:10:09:34
221.223.28.20,02/Jul/1995:10:11:02,02/Jul/1995:10:16:02
211.168.20.95,02/Jul/1995:11:57:45,02/Jul/1995:12:02:45
211.117.39.59,02/Jul/1995:14:14:25,02/Jul/1995:14:19:25
216.255.12.12,02/Jul/1995:14:31:43,02/Jul/1995:14:36:43
209.259.79.42,02/Jul/1995:15:02:27,02/Jul/1995:15:07:27
218.240.10.39,02/Jul/1995:16:50:15,02/Jul/1995:16:55:15
207.140.62.73,02/Jul/1995:17:13:17,02/Jul/1995:17:18:17
214.263.96.82,02/Jul/1995:19:10:18,02/Jul/1995:19:15:18
211.145.73.74,02/Jul/1995:19:59:48,02/Jul/1995:20:04:48
219.199.28.28,02/Jul/1995:20:25:33,02/Jul/1995:20:30:33
220.130.34.46,02/Jul/1995:20:45:12,02/Jul/1995:20:50:12
216.103.57.19,02/Jul/1995:21:21:10,02/Jul/1995:21:26:10
220.254.86.23,03/Jul/1995:01:06:38,03/Jul/1995:01:11:38
215.276.69.22,03/Jul/1995:01:46:08,03/Jul/1995:01:51:08
221.269.57.65,03/Jul/1995:01:51:35,03/Jul/1995:01:56:35
209.158.69.13,03/Jul/1995:02:26:16,03/Jul/1995:02:31:16
216.137.70.80,03/Jul/1995:03:04:13,03/Jul/1995:03:09:13
215.102.37.60,03/Jul/1995:04:13:02,03/Jul/1995:04:18:02
222.240.39.94,03/Jul/1995:04:15:13,03/Jul/1995:04:20:13
212.274.63.71,03/Jul/1995:04:37:12,03/Jul/1995:04:42:12
210.199.47.55,03/Jul/1995:04:39:17,03/Jul/1995:04:44:17
213.299.76.18,03/Jul/1995:04:44:27,03/Jul/1995:04:49:27
221.142.35.73,03/Jul/1995:05:03:07,03/Jul/1995:05:08:07
209.261.17.96,03/Jul/1995:05:53:18,03/Jul/1995:05:58:18
210.248.15.91,03/Jul/1995:05:56:33,03/Jul/1995:06:01:33
213.118.74.88,03/Jul/1995:06:00:41,03/Jul/1995:06:05:41
220.247.43.54,03/Jul/1995:06:08:33,03/Jul/1995:06:13:33
208.300.16.47,03/Jul/1995:06:12:44,03/Jul/1995:06:17:44
209.186.74.67,03/Jul/1995:06:21:19,03/Jul/1995:06:26:19
209.266.97.54,03/Jul/1995:06:23:30,03/Jul/1995:06:28:30
222.282.56.83,03/Jul/1995:06:27:17,03/Jul/1995:06:32:17
214.203.18.53,03/Jul/1995:06:54:35,03/Jul/1995:06:59:35
216.126.57.56,03/Jul/1995:07:24:20,03/Jul/1995:07:29:20
214.287.78.55,03/Jul/1995:08:18:21,03/Jul/1995:08:23:21
222.187.56.41,03/Jul/1995:10:32:48,03/Jul/1995:10:37:48
207.241.29.95,03/Jul/1995:12:12:48,03/Jul/1995:12:17:48
209.175.85.12,03/Jul/1995:16:12:37,03/Jul/1995:16:17:37
223.121.77.29,03/Jul/1995:16:48:43,03/Jul/1995:16:53:43
209.109.38.72,03/Jul/1995:16:50:28,03/Jul/1995:16:55:28
210.219.17.69,03/Jul/1995:18:12:35,03/Jul/1995:18:17:35
210.208.88.73,04/Jul/1995:00:58:21,04/Jul/1995:01:03:21
211.181.13.22,04/Jul/1995:01:47:27,04/Jul/1995:01:52:27
210.171.50.21,04/Jul/1995:03:22:09,04/Jul/1995:03:27:09
219.197.68.10,04/Jul/1995:03:36:36,04/Jul/1995:03:41:36
212.148.61.74,04/Jul/1995:03:39:48,04/Jul/1995:03:44:48
219.112.36.58,04/Jul/1995:03:45:16,04/Jul/1995:03:50:16
213.120.30.16,04/Jul/1995:04:10:05,04/Jul/1995:04:15:05
219.226.72.21,04/Jul/1995:04:43:26,04/Jul/1995:04:48:26
221.163.91.66,04/Jul/1995:05:09:13,04/Jul/1995:05:14:13
211.262.69.72,04/Jul/1995:05:19:47,04/Jul/1995:05:24:47
212.122.32.43,04/Jul/1995:05:43:09,04/Jul/1995:05:48:09
217.154.28.21,04/Jul/1995:06:12:06,04/Jul/1995:06:17:06
216.186.91.58,04/Jul/1995:06:19:11,04/Jul/1995:06:24:11
220.111.64.26,04/Jul/1995:07:06:29,04/Jul/1995:07:11:29
213.209.84.86,04/Jul/1995:08:08:03,04/Jul/1995:08:13:03
222.245.85.65,04/Jul/1995:08:12:51,04/Jul/1995:08:17:51
213.162.74.34,04/Jul/1995:08:36:52,04/Jul/1995:08:41:52
214.168.83.63,04/Jul/1995:09:03:24,04/Jul/1995:09:08:24
209.202.19.56,04/Jul/1995:09:15:29,04/Jul/1995:09:20:29
222.246.95.43,04/Jul/1995:09:18:24,04/Jul/1995:09:23:24
218.126.56.56,04/Jul/1995:09:32:12,04/Jul/1995:09:37:12
221.166.92.52,04/Jul/1995:10:19:31,04/Jul/1995:10:24:31
211.245.54.88,04/Jul/1995:11:54:03,04/Jul/1995:11:59:03
207.192.45.61,04/Jul/1995:18:31:21,04/Jul/1995:18:36:21
220.188.62.42,04/Jul/1995:18:52:52,04/Jul/1995:18:57:52
214.101.36.16,04/Jul/1995:19:54:09,04/Jul/1995:19:59:09
207.121.91.29,04/Jul/1995:20:28:29,04/Jul/1995:20:33:29
222.209.88.59,04/Jul/1995:20:31:43,04/Jul/1995:20:36:43
213.181.83.18,04/Jul/1995:23:08:29,04/Jul/1995:23:13:29
208.239.70.95,05/Jul/1995:00:29:39,05/Jul/1995:00:34:39
208.142.54.96,05/Jul/1995:00:45:23,05/Jul/1995:00:50:23
216.134.24.45,05/Jul/1995:00:53:05,05/Jul/1995:00:58:05
223.143.62.50,05/Jul/1995:00:58:09,05/Jul/1995:01:03:09
208.250.46.75,05/Jul/1995:01:14:32,05/Jul/1995:01:19:32
215.105.14.26,05/Jul/1995:02:15:13,05/Jul/1995:02:20:13
213.243.60.49,05/Jul/1995:02:53:50,05/Jul/1995:02:58:50
211.177.15.93,05/Jul/1995:03:24:25,05/Jul/1995:03:29:25
217.111.55.53,05/Jul/1995:04:15:13,05/Jul/1995:04:20:13
209.138.39.75,05/Jul/1995:04:25:48,05/Jul/1995:04:30:48
223.108.50.64,05/Jul/1995:04:50:31,05/Jul/1995:04:55:31
216.296.99.74,05/Jul/1995:05:02:27,05/Jul/1995:05:07:27
221.184.55.22,05/Jul/1995:05:15:43,05/Jul/1995:05:20:43
216.273.40.40,05/Jul/1995:05:17:05,05/Jul/1995:05:22:05
212.130.15.22,05/Jul/1995:05:35:22,05/Jul/1995:05:40:22
213.212.80.90,05/Jul/1995:05:50:21,05/Jul/1995:05:55:21
208.105.28.81,05/Jul/1995:07:03:23,05/Jul/1995:07:08:23
219.120.98.89,05/Jul/1995:07:31:21,05/Jul/1995:07:36:21
222.126.42.63,05/Jul/1995:07:36:12,05/Jul/1995:07:41:12
222.130.53.58,05/Jul/1995:07:44:30,05/Jul/1995:07:49:30
211.219.72.21,05/Jul/1995:08:47:03,05/Jul/1995:08:52:03
211.273.63.44,05/Jul/1995:13:19:36,05/Jul/1995:13:24:36
219.160.13.20,05/Jul/1995:15:05:17,05/Jul/1995:15:10:17
215.216.12.71,05/Jul/1995:15:46:03,05/Jul/1995:15:51:03
223.151.99.99,05/Jul/1995:18:10:52,05/Jul/1995:18:15:52
209.186.55.53,05/Jul/1995:19:58:24,05/Jul/1995:20:03:24
223.177.47.52,05/Jul/1995:20:01:52,05/Jul/1995:20:06:52
222.253.29.19,05/Jul/1995:21:06:21,05/Jul/1995:21:11:21
209.271.14.20,05/Jul/1995:21:56:34,05/Jul/1995:22:01:34
212.260.22.24,05/Jul/1995:22:32:39,05/Jul/1995:22:37:39
211.216.16.24,05/Jul/1995:23:22:17,05/Jul/1995:23:27:17
208.161.71.49,06/Jul/1995:00:01:32,06/Jul/1995:00:06:32
